standardized_lender_name,lender_geography,lender_profit_orientation,degree,betweenness,closeness,constraint
Societe Generale,Non-Chinese,Profit Maximizing,50,1250.2167730388567,0.0044444444444444444,0.07747636449543367
ICBC,Chinese,Mixed Mandate,48,2211.874909863866,0.0045871559633027525,0.0678589265076908
Bank of China,Chinese,Mixed Mandate,44,1254.328231887047,0.004291845493562232,0.08346435946874631
Standard Chartered,Non-Chinese,Profit Maximizing,38,541.605844097582,0.004219409282700422,0.0926264837193627
KfW,Non-Chinese,Policy Driven,34,445.587572677983,0.0041841004184100415,0.10618458400846652
International Finance Corporation,Non-Chinese,Policy Driven,33,775.4446115402617,0.00411522633744856,0.09866653219307922
BBVA,Non-Chinese,Profit Maximizing,31,329.61243156447546,0.003861003861003861,0.1051054782358435
African Development Bank,Non-Chinese,Policy Driven,29,369.83932992475087,0.0035714285714285713,0.11997488348005285
Export-Import Bank of China,Chinese,Policy Driven,29,1346.7065255865484,0.003968253968253968,0.09932500950671455
Citibank,Non-Chinese,Profit Maximizing,28,128.09033881383115,0.0034965034965034965,0.12133657582063342
Credit Suisse,Non-Chinese,Profit Maximizing,27,195.3734679370471,0.0035460992907801418,0.12452083581218525
BNP Paribas,Non-Chinese,Profit Maximizing,25,195.12763370656864,0.003952569169960474,0.13571237994681976
China Development Bank,Chinese,Policy Driven,23,393.81840978435355,0.003968253968253968,0.13074198483590424
CDC,Non-Chinese,Policy Driven,23,108.48179337142601,0.003484320557491289,0.15305640629786002
Sumitomo Mitsui,Non-Chinese,Profit Maximizing,21,135.75682012916192,0.0037313432835820895,0.1432371506972931
European Investment Bank,Non-Chinese,Policy Driven,21,64.2885997451918,0.003424657534246575,0.167617136995409
French Development Agency,Non-Chinese,Policy Driven,20,57.28985593894396,0.0035587188612099642,0.16974521261743267
OPEC Fund for International Development,Non-Chinese,Policy Driven,20,310.7463683741862,0.003861003861003861,0.1487017004937302
Proparco,Non-Chinese,Policy Driven,19,67.56501394658027,0.0036900369003690036,0.1436620073048504
Emerging Africa Infrastructure Fund,Non-Chinese,Policy Driven,18,15.711831469184396,0.0033783783783783786,0.17616016451622535
