standardized_lender_name,lender_geography,lender_profit_orientation,degree,betweenness,closeness,constraint
Bank of China,Chinese,Mixed Mandate,386,26999.056245962216,9.532888465204957e-4,0.051489206935768486
Sumitomo Mitsui,Non-Chinese,Profit Maximizing,367,12567.05950947974,9.389671361502347e-4,0.051389977074047084
Mitsubishi UFJ,Non-Chinese,Profit Maximizing,345,11340.48322065461,9.191176470588235e-4,0.05155905486107074
Standard Chartered,Non-Chinese,Profit Maximizing,345,12615.887995631407,9.199632014719411e-4,0.0489156498448711
ICBC,Chinese,Mixed Mandate,340,20923.02644572366,9.132420091324201e-4,0.053008747500496806
Mizuho,Non-Chinese,Profit Maximizing,331,8260.398502429714,9.049773755656109e-4,0.052945480929319125
Citibank,Non-Chinese,Profit Maximizing,327,12157.194199933665,9.009009009009009e-4,0.05442169495457501
HSBC,Non-Chinese,Profit Maximizing,309,8895.167473418609,8.952551477170994e-4,0.05301034447001852
BNP Paribas,Non-Chinese,Profit Maximizing,297,6347.787461813797,8.802816901408451e-4,0.056602279139796007
Intesa Sanpaolo,Non-Chinese,Profit Maximizing,273,5604.564577995454,8.658008658008658e-4,0.05501397371992591
Societe Generale,Non-Chinese,Profit Maximizing,266,7845.161650449304,8.517887563884157e-4,0.061493551524735325
ING,Non-Chinese,Profit Maximizing,262,5116.732199032669,8.431703204047217e-4,0.06112347303299594
Credit Agricole,Non-Chinese,Profit Maximizing,259,4751.5028203351785,8.488964346349745e-4,0.061000647125026335
Commerzbank,Non-Chinese,Profit Maximizing,236,3165.0458011400938,8.264462809917355e-4,0.05793109888940828
China Construction Bank,Chinese,Mixed Mandate,236,5592.083925201608,8.19000819000819e-4,0.05512517980487333
JPMorgan,Non-Chinese,Profit Maximizing,235,4071.3120267486806,8.230452674897119e-4,0.0632067732345522
DZ Bank,Non-Chinese,Profit Maximizing,234,2316.706558099624,8.163265306122449e-4,0.051411224138399346
Natixis,Non-Chinese,Profit Maximizing,225,3274.453657615182,8.149959250203749e-4,0.05981274822555395
Credit Suisse,Non-Chinese,Profit Maximizing,213,7904.418105698465,8.012820512820513e-4,0.05252196141172105
China Development Bank,Chinese,Policy Driven,209,21676.273499695486,8.090614886731392e-4,0.054189769532924356
