standardized_lender_name,lender_geography,lender_profit_orientation,n
Inter-American Development Bank,Non-Chinese,Policy Driven,65
African Development Bank,Non-Chinese,Policy Driven,30
Canadian Climate Fund for the Americas,Non-Chinese,Policy Driven,7
International Finance Corporation,Non-Chinese,Policy Driven,6
KfW,Non-Chinese,Policy Driven,5
Mitsubishi UFJ,Non-Chinese,Profit Maximizing,4
Spain Institute of Official Credit,Non-Chinese,Policy Driven,4
BBVA,Non-Chinese,Profit Maximizing,3
BNP Paribas,Non-Chinese,Profit Maximizing,3
Banco Santander,Non-Chinese,Profit Maximizing,3
