standardized_lender_name,lender_geography,lender_profit_orientation,n
ICBC,Chinese,Mixed Mandate,29
Mitsubishi UFJ,Non-Chinese,Profit Maximizing,26
Standard Chartered,Non-Chinese,Profit Maximizing,25
Sumitomo Mitsui,Non-Chinese,Profit Maximizing,25
Commerzbank,Non-Chinese,Profit Maximizing,21
Bank of China,Chinese,Mixed Mandate,17
BNP Paribas,Non-Chinese,Profit Maximizing,16
HSBC,Non-Chinese,Profit Maximizing,16
Credit Agricole,Non-Chinese,Profit Maximizing,15
Mizuho,Non-Chinese,Profit Maximizing,15
