aid_data_record_id,sector_name,title,description,staff_comments,combined_text,success,error_message,primary_class,confidence,project_type,justification,evidence
87626,EMERGENCY RESPONSE,Chinese Government donates 12 million CFA to Niger for flood relief in September 2017,"On 22 September 2017, the Chinese Government handed over a 12 million CFA check to the Niger Ministry of Humanitarian Action and Disaster Management for flood relief efforts. The purpose of this grant was to support victims of recent flood disasters.",NA,"# Sector
EMERGENCY RESPONSE

# Title
Chinese Government donates 12 million CFA to Niger for flood relief in September 2017

# Description
On 22 September 2017, the Chinese Government handed over a 12 million CFA check to the Niger Ministry of Humanitarian Action and Disaster Management for flood relief efforts. The purpose of this grant was to support victims of recent flood disasters.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project is humanitarian aid with no direct environmental or energy transition impact,"Flood relief grant, humanitarian action focus"
88736,COMMUNICATIONS,Chinese Government donates equipment to Niger national newspaper,"On December 20, 2017, the Chinese Government handed over computers and other editing materials to Le Sahel, an official newspaper in Niger. The value of this donation is unknown. According to the Chinese Ambassador, Le Sahel is an ""old friend"" of the embassy, ​​and it is an ""indispensable bridge to enhance the friendship and mutual understanding between the Chinese and Niger peoples.""",NA,"# Sector
COMMUNICATIONS

# Title
Chinese Government donates equipment to Niger national newspaper

# Description
On December 20, 2017, the Chinese Government handed over computers and other editing materials to Le Sahel, an official newspaper in Niger. The value of this donation is unknown. According to the Chinese Ambassador, Le Sahel is an ""old friend"" of the embassy, ​​and it is an ""indispensable bridge to enhance the friendship and mutual understanding between the Chinese and Niger peoples.""",TRUE,NA,NEUTRAL,HIGH,Social Development,"Project involves donation of communication equipment to support media operations, with no direct environmental or energy transition impact","Donation of computers and editing materials to national newspaper, focus on enhancing cultural understanding"
31098,TRANSPORT AND STORAGE,China Eximbank provides $460.8 million preferential buyer's credit for Abuja-Keffi Road Expansion and Dualization of Keffi-Akwanga-Lafia Makurdi Road Project,"On August 18, 2017, China Eximbank and the Government of Nigeria signed a $460,822,440.20 preferential buyer’s credit (PBC) agreement for the Abuja-Keffi Road Expansion and Dualization of Keffi-Akwanga-Lafia Makurdi Road Project. The PBC (loan) carried the following terms: a 20 year maturity, a 7 year grace period, and a 2.5% interest rate. The final maturity date of this loan is September 21, 2037. As of December 31, 2020, Nigeria’s Debt Management Office (DMO) reported that the China Eximbank loan had achieved a 24.42% disbursement rate ($112.53 million) and the borrower had made interest repayments worth $24.42 million and no principal repayments to the lender. As such, the loan’s (principal) amount outstanding, as of December 31, 2020, was $112.53 million.   This project involves the expansion of the Abuja-Keffi Road and the dualization of Keffi-Akwanga-Lafia Makurdi Road. The project consists of two parts: the 5.4 km expansion of Abuja-Keffi expressway, linking Abuja to Nasarawa, and the reconstruction and dualization of the 221.8 km Keffi-Akwanga-Lafia-Makurdi expressway, linking Nasarawa to Benue. The expansion of the Abuja-Keffi expressway is expected to last three years, during which a two-lane auxiliary road will be built on the existing six-lane section. The Keffi-Akwanga-Lafia-Makurdi expressway will be widened from the current two-lane road into a two-way, four-lane section. China Harbour Construction Company is the contractor responsible for implementation.   A formal groundbreaking ceremony took place on November 22, 2018. However, construction did not begin until February 8, 2019.","1. This project is also known as the 227 km Abuja-Keffi-Makurdi Road Rehabilitation and Upgrade Project. The Chinese project title is 凯菲至马库尔迪公路改扩建工程项目. 2. In the database of Chinese loan commitments that SAIS-CARI released in July 2020, it does not record the grace period for this loan. AidData records the grace period (7 years) that is reported by Nigeria’s Debt Management Office (DMO) in its ‘Loans Obtained from China Exim As At December 31, 2020’ publication.","# Sector
TRANSPORT AND STORAGE

# Title
China Eximbank provides $460.8 million preferential buyer's credit for Abuja-Keffi Road Expansion and Dualization of Keffi-Akwanga-Lafia Makurdi Road Project

# Description
On August 18, 2017, China Eximbank and the Government of Nigeria signed a $460,822,440.20 preferential buyer’s credit (PBC) agreement for the Abuja-Keffi Road Expansion and Dualization of Keffi-Akwanga-Lafia Makurdi Road Project. The PBC (loan) carried the following terms: a 20 year maturity, a 7 year grace period, and a 2.5% interest rate. The final maturity date of this loan is September 21, 2037. As of December 31, 2020, Nigeria’s Debt Management Office (DMO) reported that the China Eximbank loan had achieved a 24.42% disbursement rate ($112.53 million) and the borrower had made interest repayments worth $24.42 million and no principal repayments to the lender. As such, the loan’s (principal) amount outstanding, as of December 31, 2020, was $112.53 million.   This project involves the expansion of the Abuja-Keffi Road and the dualization of Keffi-Akwanga-Lafia Makurdi Road. The project consists of two parts: the 5.4 km expansion of Abuja-Keffi expressway, linking Abuja to Nasarawa, and the reconstruction and dualization of the 221.8 km Keffi-Akwanga-Lafia-Makurdi expressway, linking Nasarawa to Benue. The expansion of the Abuja-Keffi expressway is expected to last three years, during which a two-lane auxiliary road will be built on the existing six-lane section. The Keffi-Akwanga-Lafia-Makurdi expressway will be widened from the current two-lane road into a two-way, four-lane section. China Harbour Construction Company is the contractor responsible for implementation.   A formal groundbreaking ceremony took place on November 22, 2018. However, construction did not begin until February 8, 2019.",TRUE,NA,NEUTRAL,HIGH,General Infrastructure,Road expansion and dualization project with no clear environmental or energy transition impacts,"Road infrastructure project, no mention of renewable energy or energy efficiency components"
60848,TRANSPORT AND STORAGE,"China Eximbank provides $1.267 billion preferential buyer’s credit for Phase 2 (Lagos-Ibadan Section) of Nigerian Railway Modernization Project (Linked to Project ID#1844, #60767, #60850, and #195)844, #60767, #60850, and #195)","On August 18, 2017, China Eximbank and the Government of Nigeria signed a $1,267,317,586 preferential buyer’s credit (PBC) agreement for Phase 2 (Lagos-Ibadan Section) of the Nigerian Railway Modernization Project. The Federal Government of Nigeria made a counterpart contribution to the project worth $314,529,784.90. The PBC (loan) carries the following terms: 20 year maturity, 7 year grace period, a 2.5% interest rate, a 0.5% management fee, and a 0.2% commitment fee. The final maturity date of the loan is September 21, 2037. As of December 31, 2020, Nigeria’s Debt Management Office (DMO) reported that the loan had achieved a 69.77% disbursement rate ($884.27 million) and the borrower had made interest repayments worth $29.82 million and no principal repayments to the lender. As such, the loan’s (principal) amount outstanding, as of December 31, 2020, was $884.27 million.   Phase 2 of this project involved the modernization of a 156.65 km railway section from Lagos City, Nigeria’s largest port city in the south, to the northeast via Abeokuta and Ibadan. This section is part of a larger 1,313 km standard gauge railway that runs from from Lagos to Kano and carries both passenger and cargo. Phase 2 also includes the construction of a 300 meter link between the Apapa Port Complex and the Lagos-Kano Railway.   China Earth Group Fuzhou Survey and Design Institute Co., Ltd. is the contractor responsible for the design of the project. China Civil Engineering Construction Company (CCECC) is the EPC contractor responsible for the implementation of the project and its work is being supervised by Italy’s Team Nigeria LTD. Nigeria’s Federal Ministry of Transport is the project ‘owner’.   Construction began on May 5, 2017. The Government of Nigeria announced that it had achieved a 50% project completion rate as of January 15, 2019. The opening ceremony of the commercial operation of the Lagos-Ibadan Railway was held on June 10, 2021, and the Lagos-Ibadan section of the railway launched commercial operations. However, the second phase of this project encountered a number of problems and delays related to adverse weather, labor disputes, and the COVID-19 pandemic. The larger 1,313 km standard gauge railway modernization project — known as the Nigerian Railway Modernization Project and the Lagos-Kano Railway Modernization Project — that runs from Lagos to Kano remained unfinished as of May 2022. China Eximbank had previously agreed in principle to finance the other sections of the $8.3 billion project (captured via Project ID#1844, #60767, #60850, and #195). However, it later decided not to finance the other railway sections.   In February 2022, Nigeria’s Transport Minister Rotimi Amaech told reporters that ‘We were waiting on the Chinese to give us the loans we applied for and till today they’ve not replied. […] They kept delaying us.’  Consequently, the Government of Nigeria sought funding from other sources, including Standard Chartered Plc and Chinese state-owned commercial banks. None of these funding sources ever materialized, which put President Muhammadu Buhari in a difficult political situation. Before the country’s election in 2019, the ruling party (All Progressives Congress) had promised to complete the Lagos-Kano railway before the next nationwide vote in 2023.","1. This project is also known as the Lagos-Ibadan Railway Modernisation Project II, Segment 2 of the Lagos-Kano Railway Project, the Apapa Branch Line Project, or the Rye Railway Project. The Chinese project title is 拉各斯-伊巴丹段（拉伊铁路）or 拉伊铁路项目 or 尼日利亚铁路现代化项目 or 尼日利亚铁路现代化项目（拉各斯至伊巴丹段). 2. In the database of Chinese loan commitments that SAIS-CARI released in July 2020, it does not record the grace period for this loan. AidData records the grace period (7 years) that is reported by Nigeria’s Debt Management Office (DMO) in its ‘Loans Obtained from China Exim As At December 31, 2020’ publication.","# Sector
TRANSPORT AND STORAGE

# Title
China Eximbank provides $1.267 billion preferential buyer’s credit for Phase 2 (Lagos-Ibadan Section) of Nigerian Railway Modernization Project (Linked to Project ID#1844, #60767, #60850, and #195)844, #60767, #60850, and #195)

# Description
On August 18, 2017, China Eximbank and the Government of Nigeria signed a $1,267,317,586 preferential buyer’s credit (PBC) agreement for Phase 2 (Lagos-Ibadan Section) of the Nigerian Railway Modernization Project. The Federal Government of Nigeria made a counterpart contribution to the project worth $314,529,784.90. The PBC (loan) carries the following terms: 20 year maturity, 7 year grace period, a 2.5% interest rate, a 0.5% management fee, and a 0.2% commitment fee. The final maturity date of the loan is September 21, 2037. As of December 31, 2020, Nigeria’s Debt Management Office (DMO) reported that the loan had achieved a 69.77% disbursement rate ($884.27 million) and the borrower had made interest repayments worth $29.82 million and no principal repayments to the lender. As such, the loan’s (principal) amount outstanding, as of December 31, 2020, was $884.27 million.   Phase 2 of this project involved the modernization of a 156.65 km railway section from Lagos City, Nigeria’s largest port city in the south, to the northeast via Abeokuta and Ibadan. This section is part of a larger 1,313 km standard gauge railway that runs from from Lagos to Kano and carries both passenger and cargo. Phase 2 also includes the construction of a 300 meter link between the Apapa Port Complex and the Lagos-Kano Railway.   China Earth Group Fuzhou Survey and Design Institute Co., Ltd. is the contractor responsible for the design of the project. China Civil Engineering Construction Company (CCECC) is the EPC contractor responsible for the implementation of the project and its work is being supervised by Italy’s Team Nigeria LTD. Nigeria’s Federal Ministry of Transport is the project ‘owner’.   Construction began on May 5, 2017. The Government of Nigeria announced that it had achieved a 50% project completion rate as of January 15, 2019. The opening ceremony of the commercial operation of the Lagos-Ibadan Railway was held on June 10, 2021, and the Lagos-Ibadan section of the railway launched commercial operations. However, the second phase of this project encountered a number of problems and delays related to adverse weather, labor disputes, and the COVID-19 pandemic. The larger 1,313 km standard gauge railway modernization project — known as the Nigerian Railway Modernization Project and the Lagos-Kano Railway Modernization Project — that runs from Lagos to Kano remained unfinished as of May 2022. China Eximbank had previously agreed in principle to finance the other sections of the $8.3 billion project (captured via Project ID#1844, #60767, #60850, and #195). However, it later decided not to finance the other railway sections.   In February 2022, Nigeria’s Transport Minister Rotimi Amaech told reporters that ‘We were waiting on the Chinese to give us the loans we applied for and till today they’ve not replied. […] They kept delaying us.’  Consequently, the Government of Nigeria sought funding from other sources, including Standard Chartered Plc and Chinese state-owned commercial banks. None of these funding sources ever materialized, which put President Muhammadu Buhari in a difficult political situation. Before the country’s election in 2019, the ruling party (All Progressives Congress) had promised to complete the Lagos-Kano railway before the next nationwide vote in 2023.",TRUE,NA,NEUTRAL,HIGH,General Infrastructure,Railway modernization project primarily focused on transportation infrastructure without clear environmental or energy transition impacts,"Modernization of 156.65 km railway section, part of larger 1,313 km standard gauge railway, carries both passenger and cargo"
60941,COMMUNICATIONS,China Eximbank and Credit Suisse AG provide $84 million syndicated buyer's credit facility for MTN Nigeria Communications to facilitate acquisition of telecommunication equipment from Huawei,"In April 2017, China Eximbank and Credit Suisse AG signed an $84 million syndicated buyer's credit facility agreement with MTN Nigeria Communications Ltd. to facilitate its acquisition of telecommunication equipment from Huawei. This loan carries an interest rate of LIBOR plus a margin of 5.5%. The proceeds from the loan were used to finance 85% of the the value of a $106 million contract with Huawei. It is repayable in 8 equal installments beginning August 2018. The loan achieved a 100% disbursement rate.","1. The interest rate that applies to this loan (6.975%) was calculated by taking the average 6-month LIBOR rate in 2017 (1.475%) — the year when the loan agreement was finalized — and adding a 5.5% margin. 2. The individual contributions of China Eximbank, and Credit Suisse AG to the syndicated loan are unknown. For the time being, AidData has estimated the contribution of the China Eximbank by assuming that the two lenders contributed equal amounts ($42,000,000) to the loan syndicate.","# Sector
COMMUNICATIONS

# Title
China Eximbank and Credit Suisse AG provide $84 million syndicated buyer's credit facility for MTN Nigeria Communications to facilitate acquisition of telecommunication equipment from Huawei

# Description
In April 2017, China Eximbank and Credit Suisse AG signed an $84 million syndicated buyer's credit facility agreement with MTN Nigeria Communications Ltd. to facilitate its acquisition of telecommunication equipment from Huawei. This loan carries an interest rate of LIBOR plus a margin of 5.5%. The proceeds from the loan were used to finance 85% of the the value of a $106 million contract with Huawei. It is repayable in 8 equal installments beginning August 2018. The loan achieved a 100% disbursement rate.",TRUE,NA,NEUTRAL,HIGH,Financial Services,"Project involves financial services for telecommunications equipment acquisition, with no direct environmental or energy transition impact","Buyer's credit facility for telecommunication equipment, no energy or environmental components mentioned"
60944,EMERGENCY RESPONSE,Chinese Government donates food assistance worth USD $5 million for emergency humanitarian assistance to Northeastern Nigerian states in 2017,"On May 8, 2017, the Chinese government handed over emergency humanitarian food aid worth $5,000,000 to three Northeastern states (Borno, Yobe, and Adamawa) in Nigeria through the World Food Programme (WFP). The project aims to provide 4,205 metric tons of rice to 41,000 internally displaced persons (IDPs) affected by Boko Haram in this region. The handover ceremony was held in Maiduguri, and was attended by Chinese Ambassador to Nigeria, Dr. Zhou Pingjian, Governor of Borno State, Kashim Shettima, and representative of the World Food Programme, Ron Sibanda. The project is completed.",This project is captured in UNOCHA Financial Tracking Service as Flow ID #157208.,"# Sector
EMERGENCY RESPONSE

# Title
Chinese Government donates food assistance worth USD $5 million for emergency humanitarian assistance to Northeastern Nigerian states in 2017

# Description
On May 8, 2017, the Chinese government handed over emergency humanitarian food aid worth $5,000,000 to three Northeastern states (Borno, Yobe, and Adamawa) in Nigeria through the World Food Programme (WFP). The project aims to provide 4,205 metric tons of rice to 41,000 internally displaced persons (IDPs) affected by Boko Haram in this region. The handover ceremony was held in Maiduguri, and was attended by Chinese Ambassador to Nigeria, Dr. Zhou Pingjian, Governor of Borno State, Kashim Shettima, and representative of the World Food Programme, Ron Sibanda. The project is completed.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project is focused on humanitarian food assistance with no direct environmental or energy transition impacts,"Emergency humanitarian food aid, rice distribution to internally displaced persons, no energy or infrastructure components"
61436,EDUCATION,Chinese government provides ICT Training for 40 students in Nigeria,"On July 27, 2017, This Day reported that the Chinese government had commenced a free training on information communication technology (ICT) for 40 Nigerians. The training was co-organized by Liteng Tank, a regional manager for Huawei Technologies Company Nigeria Limited.",NA,"# Sector
EDUCATION

# Title
Chinese government provides ICT Training for 40 students in Nigeria

# Description
On July 27, 2017, This Day reported that the Chinese government had commenced a free training on information communication technology (ICT) for 40 Nigerians. The training was co-organized by Liteng Tank, a regional manager for Huawei Technologies Company Nigeria Limited.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project focuses on education and skills development without direct environmental or energy transition impacts,"ICT training for students, education sector focus"
61437,EDUCATION,Chinese Government provides 20 million naira grant for classrooms at Iworo Ajido Model College,"On September 29th, 2017, the Chinese Embassy in Lagos handed over a block of classrooms to a Lagos school, Iworo Ajido Model College in Iworo-Abjido, Bagargy. According to All Africa, the donation was part of the ""China-Africa People-to-people Friendship Action"" initiative and bilateral exchanges and cooperation in education between China and Nigeria. The classrooms were built by China Civil Engineering Construction Corporation Ltd. (CCECC) at a cost of twenty million Naira. The classrooms were equipped with school desks and chalkboards, and the students were given new school bags.",NA,"# Sector
EDUCATION

# Title
Chinese Government provides 20 million naira grant for classrooms at Iworo Ajido Model College

# Description
On September 29th, 2017, the Chinese Embassy in Lagos handed over a block of classrooms to a Lagos school, Iworo Ajido Model College in Iworo-Abjido, Bagargy. According to All Africa, the donation was part of the ""China-Africa People-to-people Friendship Action"" initiative and bilateral exchanges and cooperation in education between China and Nigeria. The classrooms were built by China Civil Engineering Construction Corporation Ltd. (CCECC) at a cost of twenty million Naira. The classrooms were equipped with school desks and chalkboards, and the students were given new school bags.",TRUE,NA,NEUTRAL,HIGH,Social Development,Project focuses on educational infrastructure development without direct environmental or energy transition impacts,"Construction of classrooms, provision of school desks and bags, education sector focus"
61961,GOVERNMENT AND CIVIL SOCIETY,Chinese Government donates 60 million naira to charity run by Nigerian President's wife,"On June 12, 2017, representatives of the Chinese Embassy in Nigeria donated N60 million to Future Assured, a charity run by the Nigerian President's wife, Mrs. Aisha Muhammad Buhari.   Representing the wife of the President at the event, Senior Special Assistant to the President, Dr. Hajo Sani expressed appreciation for the support and goodwill of the People’s Republic of China, saying the donation will reach its intended beneficiaries.  Presenting the donation, the Deputy Chief of Mission at the Embassy of the People’s Republic of China, Mr. Lin Jin, said Future Assured has made tremendous impact in promoting the health and well-being of women, children and the vulnerable, and succeeded in making a difference in the lives of these people.  Future Assured focuses on promoting the health of women and children, women's empowerment and rights, education for women and girls, and support for victims of insurgency in Nigeria.",NA,"# Sector
GOVERNMENT AND CIVIL SOCIETY

# Title
Chinese Government donates 60 million naira to charity run by Nigerian President's wife

# Description
On June 12, 2017, representatives of the Chinese Embassy in Nigeria donated N60 million to Future Assured, a charity run by the Nigerian President's wife, Mrs. Aisha Muhammad Buhari.   Representing the wife of the President at the event, Senior Special Assistant to the President, Dr. Hajo Sani expressed appreciation for the support and goodwill of the People’s Republic of China, saying the donation will reach its intended beneficiaries.  Presenting the donation, the Deputy Chief of Mission at the Embassy of the People’s Republic of China, Mr. Lin Jin, said Future Assured has made tremendous impact in promoting the health and well-being of women, children and the vulnerable, and succeeded in making a difference in the lives of these people.  Future Assured focuses on promoting the health of women and children, women's empowerment and rights, education for women and girls, and support for victims of insurgency in Nigeria.",TRUE,NA,NEUTRAL,HIGH,Social Development,"Project is a charitable donation focused on social development and welfare, with no direct environmental or energy transition impact","Donation to charity focused on health, women's empowerment, education, and support for vulnerable populations"
62010,GOVERNMENT AND CIVIL SOCIETY,Chinese Government donates motorcycles and air conditioners to Lagos Police,"On November 9, 2017, the Chinese consulate in Lagos donated supplies to the police in Lagos. The donation include nine motorcycles and nine split floor type room air conditioners.",The cost of this donation is unclear.,"# Sector
GOVERNMENT AND CIVIL SOCIETY

# Title
Chinese Government donates motorcycles and air conditioners to Lagos Police

# Description
On November 9, 2017, the Chinese consulate in Lagos donated supplies to the police in Lagos. The donation include nine motorcycles and nine split floor type room air conditioners.",TRUE,NA,NEUTRAL,HIGH,Social Development,"Project involves donation of equipment to local police, with no clear environmental or energy transition impact","Donation of motorcycles and air conditioners to Lagos Police, no energy-related components"
