transaction_id,standardized_lender_name,standardized_lender_type,lender_geography,lender_core_type,lender_profit_orientation,transaction_primary_class,recipient,recipient_region,commitment_year,involving_multilateral
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Absa,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Abu Dhabi Commercial Bank,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Bank ABC,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Bank Muscat,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Citibank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Commerzbank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Credit Europe Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Emirates NBD,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",First Abu Dhabi Bank,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Gulf Bank of Kuwait KSCP,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
