transaction_id,transaction_primary_class
PJSC Rosneft Oil Company-Russia-2013-06-21,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2010-09-01,BROWN
PJSC Rosneft Oil Company-Russia-2009-02-01,BROWN
Central Bank of Argentina (BCRA)-Argentina-2018-01-01,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2019-01-01,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2020-01-01,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2021-01-01,NEUTRAL
OAO AK Transneft-Russia-2009-02-01,BROWN
OAO Yamal LNG-Russia-2016-04-11,BROWN
Central Bank of Argentina (BCRA)-Argentina-2015-01-01,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2016-01-01,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2017-01-01,NEUTRAL
Asia Gas Pipeline LLP (AGP)-Kazakhstan-2008-10-22,BROWN
Government of Venezuela-Venezuela-2015-03-01,NEUTRAL
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2009-11-03,BROWN
Government of Angola-Angola-2016-01-01,BROWN
Government of Iraq-Iraq-2010-04-01,NEUTRAL
Taihu Limited-Russia-2006-11-13,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2007-11-06,BROWN
Minera Las Bambas S.A.C. (Minera Las Bambas)-Peru-2014-04-01,GREY
State Bank of Pakistan (SBP)-Pakistan-2017-07-01,NEUTRAL
VEB-Leasing-Russia-2005-01-01,BROWN
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2005-01-01,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2009-02-01,BROWN
Turkmengaz-Turkmenistan-2009-06-25,BROWN
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2016-01-01,BROWN
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2017-12-14,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2013-11-01,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)|Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2013-09-18,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2015-04-01,BROWN
Government of Venezuela-Venezuela-2015-09-01,BROWN
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2015-04-01,BROWN
Asia Gas Pipeline LLP (AGP)-Kazakhstan-2012-12-27,BROWN
Central Bank of the Republic of Turkey (TCMB)-Turkey-2021-06-15,NEUTRAL
Asia Trans Gas LLC-Uzbekistan-2008-11-18,BROWN
Malaysia Rail Link Sdn Bhd (MRL)-Malaysia-2018-01-01,NEUTRAL
Argentina Ministry of Economy-Argentina-2014-08-01,GREEN
Turkmengaz-Turkmenistan-2011-04-01,BROWN
Government of Pakistan-Pakistan-2016-04-28,NEUTRAL
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2011-06-01,BROWN
State Bank of Pakistan (SBP)-Pakistan-2020-07-01,NEUTRAL
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2012-02-01,BROWN
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2012-02-01,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2021-07-01,NEUTRAL
Government of Angola-Angola-2015-12-09,BROWN
PT Kereta Cepat Indonesia China (KCIC)-Indonesia-2017-05-14,Mixed (No Clear Dominant)
"Petrolera Sinovensa, S.A-Venezuela-2013-06-03",BROWN
Mangistau Investments B.V. (MIBV)-Kazakhstan-2009-04-15,BROWN
Sino–Congolais des Mines (Sicomines SARL)-Congo - Kinshasa-2008-04-22,GREY
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2014-07-01,BROWN
State Bank of Pakistan (SBP)-Pakistan-2019-07-01,NEUTRAL
OOO Gazprom Pererabotka Blagoveshchensk-Russia-2020-03-01,BROWN
Central Bank of Egypt-Egypt-2018-01-01,NEUTRAL
Oman Ministry of Finance-Oman-2017-08-03,NEUTRAL
Government of Pakistan-Pakistan-2015-12-15,GREEN
Government of Angola-Angola-2016-12-05,GREEN
Laos-China Railway Company (LCRC)-Laos-2019-06-01,NEUTRAL
Amur Gas Chemical Complex LLC (AGCC)-Russia-2021-12-01,BROWN
Sociedade Nacional de Combustiveis de Angola (Sonangol)-Angola-2010-11-19,NEUTRAL
CITIC Group Corporation-Kazakhstan-2006-12-01,BROWN
Baha Mar Ltd.-Bahamas-2010-05-31,NEUTRAL
International Finance Corporation (IFC)-Multi-Region-2013-09-17,NEUTRAL
Government of Cuba-Cuba-2016-01-01,GREEN
State Bank of Pakistan (SBP)-Pakistan-2018-07-01,NEUTRAL
Central Bank of Egypt-Egypt-2017-01-01,NEUTRAL
Government of Angola-Angola-2007-09-28,NEUTRAL
Thai Airways (THAI)-Thailand-2010-10-22,NEUTRAL
Central Bank of Egypt-Egypt-2019-01-01,NEUTRAL
Arctic LNG 2 LLC-Russia-2021-11-30,BROWN
"Ministry of Housing, Utilities & Urban Communities (Egypt)|New Urban Communities Authority (NUCA)-Egypt-2019-04-28",NEUTRAL
Central Bank of Egypt-Egypt-2020-01-01,NEUTRAL
Government of Bangladesh-Bangladesh-2018-04-27,NEUTRAL
PT Bumi Resources Tbk (PT Bumi)-Indonesia-2009-09-18,BROWN
Papua New Guinea Liquefied Natural Gas Global Company LDC-Papua New Guinea-2009-12-15,BROWN
