transaction_id,total_observations,green_count,brown_count,grey_count,neutral_count,total_amount_billions,pct_green,pct_brown,pct_grey,pct_neutral,has_green_and_brown,is_uniform,dominant_class,transaction_class
PJSC Rosneft Oil Company-Russia-2013-06-21,2,0,2,0,0,39.48127932664417,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2010-09-01,2,0,2,0,0,28.329630544219803,0,100,0,0,FALSE,TRUE,BROWN,BROWN
PJSC Rosneft Oil Company-Russia-2009-02-01,1,0,1,0,0,22.5301507241218,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Central Bank of Argentina (BCRA)-Argentina-2018-01-01,1,0,0,0,1,21.4217747531511,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2019-01-01,1,0,0,0,1,21.2706020026709,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2020-01-01,1,0,0,0,1,21.0418565667191,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2021-01-01,1,0,0,0,1,20.155038759689898,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
OAO AK Transneft-Russia-2009-02-01,1,0,1,0,0,15.0201004827479,0,100,0,0,FALSE,TRUE,BROWN,BROWN
OAO Yamal LNG-Russia-2016-04-11,4,0,1,3,0,13.928275259260017,0,25,75,0,FALSE,FALSE,GREY,BROWN
Central Bank of Argentina (BCRA)-Argentina-2015-01-01,1,0,0,0,1,12.4987758985068,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2016-01-01,1,0,0,0,1,12.438748119798701,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Argentina (BCRA)-Argentina-2017-01-01,1,0,0,0,1,11.9370048717733,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Asia Gas Pipeline LLP (AGP)-Kazakhstan-2008-10-22,2,0,2,0,0,11.43439441461788,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Venezuela-Venezuela-2015-03-01,1,0,0,0,1,11.2227556957895,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2009-11-03,1,0,1,0,0,10.5140703379235,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Angola-Angola-2016-01-01,50,0,2,1,47,9.816600282108785,0,4,2,94,FALSE,FALSE,NEUTRAL,BROWN
Government of Iraq-Iraq-2010-04-01,1,0,0,0,1,9.331270469834811,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Taihu Limited-Russia-2006-11-13,1,0,1,0,0,7.315016706924131,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2007-11-06,1,0,1,0,0,7.19705753153639,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Minera Las Bambas S.A.C. (Minera Las Bambas)-Peru-2014-04-01,4,0,0,4,0,6.629286245674013,0,0,100,0,FALSE,TRUE,GREY,GREY
State Bank of Pakistan (SBP)-Pakistan-2017-07-01,5,0,0,0,5,6.52188584446328,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
VEB-Leasing-Russia-2005-01-01,1,0,1,0,0,6.510700048842439,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2005-01-01,2,0,1,0,1,6.510700048842439,0,50,0,50,FALSE,FALSE,Mixed (No Clear Dominant),BROWN
