from,to,weight,.tidygraph_edge_index
3,3,10,1
3,16,2,2
2,3,1,3
3,17,2,4
3,18,2,5
1,3,2,6
3,9,2,7
3,19,1,8
3,20,1,9
3,10,1,10
3,11,1,11
7,7,14,12
7,12,2,13
7,13,1,14
7,8,2,15
5,7,2,16
7,9,3,17
7,10,2,18
7,11,1,19
7,14,2,20
12,12,3,21
4,12,1,22
12,13,1,23
12,15,1,24
5,12,1,25
9,12,2,26
10,12,1,27
11,12,1,28
12,14,3,29
6,7,3,30
6,12,2,31
6,6,9,32
4,6,1,33
6,13,2,34
6,8,3,35
6,15,2,36
5,6,4,37
6,9,1,38
6,10,4,39
6,11,2,40
6,14,2,41
16,16,2,42
2,16,1,43
16,17,1,44
16,18,1,45
1,16,2,46
9,16,1,47
16,19,1,48
16,20,1,49
10,16,1,50
11,16,1,51
4,4,1,52
4,13,1,53
4,15,4,54
4,5,4,55
1,4,1,56
4,10,1,57
4,11,1,58
4,14,1,59
13,13,1,60
10,13,2,61
11,13,1,62
13,14,1,63
8,8,2,64
8,9,1,65
8,10,2,66
8,11,1,67
2,2,3,68
2,17,1,69
2,18,1,70
1,2,1,71
2,9,1,72
2,19,1,73
2,20,1,74
2,10,1,75
2,11,1,76
17,17,3,77
17,18,2,78
1,17,1,79
9,17,3,80
17,19,1,81
17,20,1,82
10,17,1,83
11,17,1,84
15,15,3,85
15,18,1,86
5,15,3,87
1,15,1,88
9,15,1,89
15,19,2,90
18,18,1,91
1,18,1,92
9,18,2,93
18,19,1,94
18,20,1,95
10,18,1,96
11,18,1,97
5,5,2,98
1,5,3,99
5,9,5,100
5,19,1,101
5,20,1,102
5,10,2,103
5,11,3,104
5,14,2,105
1,1,3,106
1,19,1,107
1,20,1,108
1,10,1,109
1,11,1,110
9,9,1,111
9,19,1,112
9,20,1,113
9,10,2,114
9,11,2,115
9,14,2,116
19,20,1,117
10,19,1,118
11,19,1,119
10,20,1,120
11,20,1,121
10,11,3,122
10,14,1,123
11,14,1,124
