from,to,weight,.tidygraph_edge_index
14,14,128,1
14,15,14,2
13,14,6,3
2,14,63,4
3,14,37,5
11,14,41,6
14,18,18,7
14,20,22,8
4,14,55,9
1,14,23,10
10,14,43,11
14,17,38,12
14,19,44,13
6,14,71,14
5,14,68,15
14,16,27,16
12,14,48,17
8,14,55,18
7,14,77,19
9,14,76,20
9,9,129,21
9,15,52,22
9,13,27,23
2,9,90,24
3,9,42,25
9,11,66,26
9,18,26,27
9,20,39,28
4,9,73,29
1,9,95,30
9,10,68,31
9,17,54,32
9,19,54,33
6,9,110,34
5,9,99,35
9,16,48,36
9,12,80,37
8,9,93,38
7,9,114,39
15,15,57,40
13,15,17,41
2,15,35,42
3,15,20,43
11,15,19,44
15,18,7,45
15,20,13,46
4,15,19,47
1,15,45,48
10,15,19,49
15,17,20,50
15,19,22,51
6,15,34,52
5,15,33,53
15,16,12,54
12,15,15,55
8,15,31,56
7,15,35,57
13,13,75,58
2,13,18,59
3,13,9,60
11,13,10,61
13,18,10,62
13,20,10,63
4,13,13,64
1,13,40,65
10,13,11,66
13,17,16,67
13,19,6,68
6,13,24,69
5,13,22,70
13,16,7,71
12,13,14,72
8,13,23,73
7,13,24,74
2,2,110,75
2,3,50,76
2,11,41,77
2,18,20,78
2,20,30,79
2,4,70,80
1,2,30,81
2,10,51,82
2,17,44,83
2,19,63,84
2,6,86,85
2,5,86,86
2,16,23,87
2,12,51,88
2,8,62,89
2,7,88,90
3,3,81,91
3,11,20,92
3,18,15,93
3,20,17,94
3,4,40,95
1,3,15,96
3,10,45,97
3,17,26,98
3,19,34,99
3,6,57,100
3,5,50,101
3,16,21,102
3,12,37,103
3,8,53,104
3,7,55,105
11,11,86,106
11,18,2,107
11,20,24,108
4,11,34,109
1,11,21,110
10,11,41,111
11,17,33,112
11,19,28,113
6,11,59,114
5,11,50,115
11,16,45,116
11,12,57,117
8,11,35,118
7,11,64,119
18,18,37,120
18,20,11,121
4,18,16,122
1,18,10,123
10,18,21,124
17,18,21,125
18,19,16,126
6,18,17,127
5,18,21,128
16,18,11,129
12,18,22,130
8,18,11,131
7,18,27,132
20,20,97,133
4,20,20,134
1,20,14,135
10,20,15,136
17,20,29,137
19,20,12,138
6,20,29,139
5,20,23,140
16,20,18,141
12,20,22,142
8,20,26,143
7,20,32,144
4,4,70,145
1,4,23,146
4,10,38,147
4,17,30,148
4,19,45,149
4,6,70,150
4,5,68,151
4,16,22,152
4,12,40,153
4,8,59,154
4,7,74,155
1,1,44,156
1,10,50,157
1,17,56,158
1,19,46,159
1,6,86,160
1,5,66,161
1,16,37,162
1,12,66,163
1,8,80,164
1,7,90,165
10,10,38,166
10,17,36,167
10,19,40,168
6,10,42,169
5,10,48,170
10,16,36,171
10,12,64,172
8,10,34,173
7,10,51,174
17,17,19,175
17,19,30,176
6,17,48,177
5,17,46,178
16,17,26,179
12,17,44,180
8,17,38,181
7,17,53,182
19,19,21,183
6,19,51,184
5,19,50,185
16,19,17,186
12,19,38,187
8,19,44,188
7,19,54,189
6,6,248,190
5,6,18,191
6,16,31,192
6,12,56,193
6,8,73,194
6,7,105,195
5,5,25,196
5,16,29,197
5,12,53,198
5,8,73,199
5,7,117,200
16,16,18,201
12,16,48,202
8,16,28,203
7,16,44,204
12,12,3,205
8,12,42,206
7,12,65,207
8,8,1,208
7,8,83,209
7,7,1,210
