standardized_lender_name,standardized_lender_type,lender_geography_type,n
Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,335
Bank of China (BOC),Chinese State-owned Commercial Bank,Chinese,304
China Development Bank (CDB),Chinese State-owned Policy Bank,Chinese,114
Export-Import Bank of China (China Eximbank),Chinese State-owned Policy Bank,Chinese,100
China Construction Bank Corporation (CCB),Chinese State-owned Commercial Bank,Chinese,85
Agricultural Bank of China (ABC),Chinese State-owned Commercial Bank,Chinese,19
China Bank of Communications (BoCom or BoComm),Other Private Sector,Chinese,14
Industrial and Commercial Bank of China (Asia) Limited (ICBC (Asia)),Chinese State-owned Commercial Bank,Chinese,12
Industrial and Commercial Bank of China (ICBC) London,Chinese State-owned Commercial Bank,Chinese,10
ICBC Indonesia,Chinese State-owned Commercial Bank,Other Non-Chinese,9
China CITIC Bank Corporation Limited,Other Private Sector,Chinese,8
China CITIC Bank International Limited (formerly CITIC Ka Wah Bank),Other Private Sector,Chinese,8
Bank of China (Hong Kong) Limited (BOCHK),Chinese State-owned Commercial Bank,Chinese,7
Harbin Bank,Other Private Sector,Other Non-Chinese,6
Bank of China (BOC)|China Construction Bank Corporation (CCB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,5
Bank of China (Jakarta Branch),Chinese State-owned Commercial Bank,Chinese,5
Bank of China (BOC)|China Development Bank (CDB),Chinese State-owned Policy Bank,Chinese,4
Bank of China (BOC)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,4
China Construction Bank Corporation (CCB)|Export-Import Bank of China (China Eximbank),Chinese State-owned Policy Bank,Chinese,4
"Shanghai Pudong Development Bank Co., Ltd. (SPDB)",Other Private Sector,Other Non-Chinese,4
Bank of China (BOC)|Bank of China (Hong Kong) Limited (BOCHK),Chinese State-owned Commercial Bank,Chinese,3
Bank of China (BOC)|Export-Import Bank of China (China Eximbank),Chinese State-owned Policy Bank,Chinese,3
CMB Wing Lung Bank,Other Private Sector,Other Non-Chinese,3
China Development Bank (CDB)|Export-Import Bank of China (China Eximbank),Chinese State-owned Policy Bank,Chinese,3
"China Merchants Bank Co., Ltd.",Other Private Sector,Chinese,3
Export-Import Bank of China (China Eximbank)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,3
ICBC Argentina,Chinese State-owned Commercial Bank,Other Non-Chinese,3
ICBC Asia,Chinese State-owned Commercial Bank,Other Non-Chinese,3
ICBC Turkey Bank A.Ş.,Chinese State-owned Commercial Bank,Other Non-Chinese,3
Nanyang Commercial Bank (NCB),Other Private Sector,Other Non-Chinese,3
Postal Savings Bank of China (PSBC)(中国邮政储蓄银行),Chinese State-owned Commercial Bank,Chinese,3
Silk Road Fund,Other Private Sector,Other Non-Chinese,3
Agricultural Bank of China (ABC)|Bank of China (BOC)|China Construction Bank Corporation (CCB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,2
