standardized_lender_name,standardized_lender_type,lender_color_group,n
ICBC,Chinese State-owned Commercial Bank,Chinese Institution,385
Bank of China,Chinese State-owned Commercial Bank,Chinese Institution,339
Sumitomo Mitsui,Other Private Sector,Non-Chinese Institution,181
Mitsubishi UFJ,Other Private Sector,Non-Chinese Institution,179
Citibank,Other Private Sector,Non-Chinese Institution,157
Standard Chartered,Other Private Sector,Non-Chinese Institution,155
Mizuho,Other Private Sector,Non-Chinese Institution,151
China Development Bank,Chinese State-owned Policy Bank,Chinese Institution,137
Export-Import Bank of China,Chinese State-owned Policy Bank,Chinese Institution,127
HSBC,Other Private Sector,Non-Chinese Institution,122
BNP Paribas,Other Private Sector,Non-Chinese Institution,119
Societe Generale,Other Private Sector,Non-Chinese Institution,113
China Construction Bank,Chinese State-owned Commercial Bank,Chinese Institution,109
ING,Other Private Sector,Non-Chinese Institution,99
Credit Agricole,Other Private Sector,Non-Chinese Institution,97
Intesa Sanpaolo,Other Private Sector,Non-Chinese Institution,89
Commerzbank,Other Private Sector,Non-Chinese Institution,86
JPMorgan,Other Private Sector,Non-Chinese Institution,81
Natixis,Other Private Sector,Non-Chinese Institution,71
Deutsche Bank,Other Private Sector,Non-Chinese Institution,69
Bank of America,Other Private Sector,Non-Chinese Institution,67
UniCredit,Other Private Sector,Non-Chinese Institution,57
DBS Bank,Other Private Sector,Non-Chinese Institution,55
Credit Suisse,Other Private Sector,Non-Chinese Institution,53
DZ Bank,Other Private Sector,Non-Chinese Institution,51
Barclays,Other Private Sector,Non-Chinese Institution,46
Raiffeisen Bank,Other Private Sector,Non-Chinese Institution,44
State Bank of India,Other State-owned Bank,Non-Chinese Institution,40
BBVA,Other Private Sector,Non-Chinese Institution,39
Mega International Commercial Bank,Other Private Sector,Non-Chinese Institution,39
Maybank,Other Private Sector,Non-Chinese Institution,37
ANZ,Other Private Sector,Non-Chinese Institution,36
Bank of Taiwan,Other State-owned Bank,Non-Chinese Institution,36
Standard Bank,Other Private Sector,Non-Chinese Institution,36
ABN Amro,Other Private Sector,Non-Chinese Institution,34
OCBC,Other Private Sector,Non-Chinese Institution,34
Korea Development Bank,Other State-owned Bank,Non-Chinese Institution,32
Agricultural Bank of China,Chinese State-owned Commercial Bank,Chinese Institution,30
Cathay United Bank,Other Private Sector,Non-Chinese Institution,30
Emirates NBD,Other State-owned Bank,Non-Chinese Institution,30
Hua Nan Commercial Bank,Other Private Sector,Non-Chinese Institution,30
United Overseas Bank,Other Private Sector,Non-Chinese Institution,28
Banco Santander,Other Private Sector,Non-Chinese Institution,27
Bayerische Landesbank,Other State-owned Bank,Non-Chinese Institution,27
Chang Hwa Commercial Bank,Other Private Sector,Non-Chinese Institution,27
KfW,Other State-owned Bank,Non-Chinese Institution,27
Rabobank,Other Private Sector,Non-Chinese Institution,27
Goldman Sachs,Other Private Sector,Non-Chinese Institution,26
CTBC Bank,Other Private Sector,Non-Chinese Institution,25
Taiwan Cooperative Bank,Other State-owned Bank,Non-Chinese Institution,25
First Commercial Bank,Other Private Sector,Non-Chinese Institution,23
Bank ABC,Other State-owned Bank,Non-Chinese Institution,22
CITIC,Chinese State-owned Company,Chinese Institution,22
